id,word,frequency,rating,year
12096,they,20,4,2019
12933,they,8,5,2019
11441,think,2,3,2019
12182,think,4,4,2019
10851,this,2,1,2019
11016,this,4,2,2019
11330,this,7,3,2019
11985,this,21,4,2019
12868,this,10,5,2019
11510,though,3,3,2019
12280,though,3,4,2019
10944,time,2,1,2019
11231,time,2,2,2019
11799,time,3,3,2019
12785,time,7,4,2019
13263,time,3,5,2019
12008,times,3,4,2019
11539,toast,3,3,2019
12321,toast,5,4,2019
11775,toast.,2,3,2019
11314,today,2,3,2019
10754,told,2,1,2019
11275,told,3,3,2019
11471,too,2,3,2019
12214,too,5,4,2019
12076,too.,2,4,2019
11133,took,2,2,2019
11462,top,2,3,2019
12028,tried,3,4,2019
12139,try,7,4,2019
12815,try,2,5,2019
11140,trying,2,2,2019
11310,two,2,3,2019
10854,up,3,1,2019
12715,up,2,4,2019
13234,up,2,5,2019
12716,us,2,4,2019
12162,usual,2,4,2019
11920,usually,5,4,2019
10945,very,3,1,2019
10992,very,3,2,2019
11253,very,2,3,2019
11834,very,10,4,2019
12803,very,4,5,2019
11948,visit,2,4,2019
10768,wait,2,1,2019
11070,wait,2,2,2019
11289,wait,2,3,2019
11905,wait,9,4,2019
12838,wait,3,5,2019
10970,waited,2,2,2019
11434,waiter,3,3,2019
10668,waiters,2,1,2019
11611,walk,2,3,2019
12006,want,4,4,2019
10825,was,12,1,2019
11121,was,6,2,2019
11747,was,26,3,2019
12681,was,51,4,2019
13221,was,23,5,2019
11150,wasn't,4,2,2019
12711,wasn't,2,4,2019
11898,water,2,4,2019
11591,we,9,3,2019
12395,we,13,4,2019
13094,we,3,5,2019
10690,well,2,1,2019
12532,well,2,4,2019
13019,well,2,5,2019
11405,went,3,3,2019
12120,went,3,4,2019
10859,were,4,1,2019
11161,were,8,2,2019
11486,were,18,3,2019
12241,were,15,4,2019
11040,what,2,2,2019
11876,what,2,4,2019
12827,what,2,5,2019
12461,what's,2,4,2019
10899,when,3,1,2019
11194,when,3,2,2019
11784,when,5,3,2019
12745,when,4,4,2019
11504,which,4,3,2019
12573,which,5,4,2019
13029,which,2,5,2019
11158,while,2,2,2019
11636,will,4,3,2019
12481,will,8,4,2019
10843,with,5,1,2019
11141,with,5,2,2019
11755,with,10,3,2019
12706,with,30,4,2019
13226,with,5,5,2019
12064,won't,3,4,2019
10811,would,2,1,2019
11307,would,4,3,2019
11943,would,4,4,2019
12853,would,2,5,2019
13253,you,3,5,2019
12156,you're,4,4,2019
